Taxi_dist,Market_dist,Hospital_dist,Carpet_area,Builtup_area,Parking_type,City_type,Rainfall,Price_house
9796,5250,10703,1659,1961,Open,CAT B,530,6649000
8294,8186,12694,1461,1752,Not Provided,CAT B,210,3982000
11001,14399,16991,1340,1609,Not Provided,CAT A,720,5401000
8301,11188,12289,1451,1748,Covered,CAT B,620,5373000
10510,12629,13921,1770,2111,Not Provided,CAT B,450,4662000
6665,5142,9972,1442,1733,Open,CAT B,760,4526000
13153,11869,17811,1542,1858,No Parking,CAT A,1030,7224000
5882,9948,13315,1261,1507,Open,CAT C,1020,3772000
7495,11589,13370,1090,1321,Not Provided,CAT B,680,4631000
8233,7067,11400,1030,1235,Open,CAT C,1130,4415000
4278,10646,8243,1187,1439,Covered,CAT A,1090,7128000
8066,11149,12936,1751,2098,No Parking,CAT B,720,5762000
7693,9130,14684,1746,2064,Open,CAT B,1050,6047000
5236,10853,13054,1615,1931,Covered,CAT B,1160,5913000
6027,6707,10176,1469,1756,Open,CAT B,770,6636000
9648,14789,12812,1644,1950,Covered,CAT A,790,7887000
11079,13102,13076,1578,1907,Open,CAT A,1440,7725000
6698,11519,13441,1703,2045,Covered,CAT B,670,3817000
9609,9066,13304,1438,1731,Open,CAT A,1030,6354000
6209,7839,10660,1837,,Open,CAT B,790,4922000
8155,8085,9837,1940,2340,Covered,CAT C,980,4019000
9669,12385,13589,1421,1700,No Parking,CAT C,370,4346000
11613,11675,15476,1458,1746,Open,CAT A,690,6889000
10664,14161,15076,1719,2065,Covered,CAT B,950,5278000
7309,7468,11460,1449,1752,Not Provided,CAT B,620,5068000
7103,9832,10943,1234,1488,No Parking,CAT B,840,4188000
6615,8178,12804,1732,2073,Not Provided,CAT C,820,7005000
10870,12040,15221,1475,1777,Open,CAT C,1100,2582000
7186,8400,11151,1226,,Open,CAT C,760,4766000
11735,10687,16954,1390,1648,No Parking,CAT B,980,6053000
13441,13852,17989,1642,1943,No Parking,CAT B,710,7810000
8876,13372,15845,1715,2071,Open,CAT B,650,8486000
4066,9318,10159,1439,1746,Open,CAT A,990,8014000
8248,8464,11292,1250,1508,Open,CAT C,990,1492000
9904,11866,14566,1331,1608,Open,CAT B,880,6046000
6526,7876,11215,1784,2163,Covered,CAT B,620,7456000
6166,9680,12079,1375,1648,Not Provided,CAT A,1020,7243000
5064,10573,9796,1871,2230,Covered,CAT B,700,4546000
6712,10341,15629,1442,1744,Not Provided,CAT C,610,4157000
8317,13286,12785,1174,1411,Covered,CAT A,1080,6287000
7796,17101,16192,1839,2204,No Parking,CAT B,1010,5517000
9171,8368,12566,1270,1516,Not Provided,CAT B,0,4548000
8525,11543,13589,1209,,Open,CAT A,1200,6041000
9357,11584,14219,1435,1725,Open,CAT C,1250,4955000
8101,11176,13502,965,1152,Not Provided,CAT C,600,4814000
8794,12199,14275,1665,2001,No Parking,CAT A,730,6764000
6017,14147,12642,1780,2117,Open,CAT C,780,3973000
11265,12999,14621,1009,1194,Not Provided,CAT C,520,3580000
6407,10134,13433,1227,1471,No Parking,CAT A,870,4927000
,,10643,1565,1885,Not Provided,CAT A,660,6707000
7193,10163,10715,1769,2087,No Parking,CAT B,690,6651000
9723,11620,13693,1660,1982,Open,CAT B,910,6253000
11363,14001,17453,1472,1776,Open,CAT B,1260,5998000
13157,11247,16385,1408,1688,Not Provided,CAT A,1040,7635000
11657,12184,16450,1514,1820,Covered,CAT B,910,8182000
10269,7505,13552,1565,1880,Covered,CAT B,1300,5783000
9480,15910,16887,1074,1288,Not Provided,CAT B,320,7045000
10451,11465,16488,1864,2240,No Parking,CAT B,530,6700000
7331,11247,10787,1570,1898,No Parking,CAT B,980,6409000
8458,13941,15721,1417,1701,Open,CAT B,740,4867000
9620,15033,14775,1734,2060,Not Provided,CAT B,1240,6621000
10566,10728,16951,1470,1763,Covered,CAT B,1080,8366000
5568,11538,14767,1761,2104,Not Provided,CAT A,1080,7077000
8210,9740,12485,1756,2070,Open,CAT C,460,5387000
4533,6617,10052,1704,2045,No Parking,CAT A,300,7130000
7471,9029,14080,,1614,Covered,CAT A,870,7669000
6239,7326,9085,2011,2391,Not Provided,CAT C,530,4610000
10504,9938,13747,1472,1748,Open,CAT B,600,4910000
12715,10229,15329,1310,1561,Not Provided,CAT B,860,6592000
9472,9686,13464,1544,1821,Covered,CAT B,590,5866000
4195,9050,7517,1707,2052,Open,CAT B,920,6913000
5858,8114,11026,1881,2262,No Parking,CAT C,570,4908000
9849,8773,15371,1416,1681,Not Provided,CAT A,290,7271000
7983,6338,11916,1631,1941,Open,CAT B,650,3343000
5174,9293,10704,1318,1576,Covered,CAT C,710,4243000
7629,8786,12052,1692,2019,Open,CAT B,850,5665000
8841,11909,11625,1152,1380,Not Provided,CAT B,530,3358000
9327,9867,14244,891,1073,Not Provided,CAT A,630,6737000
6637,10365,9537,1468,1749,Not Provided,CAT A,700,7178000
4589,12404,12558,1539,1833,Not Provided,CAT A,650,8484000
9604,13622,15501,1635,1956,Covered,CAT A,720,8207000
8868,12356,13209,1267,1520,Not Provided,CAT B,450,2677000
11676,14735,15825,1250,1475,Open,CAT B,1390,6556000
11703,12778,16910,1598,,Covered,CAT A,530,8116000
5909,10455,13125,1720,2044,Open,CAT B,960,3866000
9674,12676,14459,1462,1761,Not Provided,CAT A,600,6566000
4997,9411,11468,1431,1711,No Parking,CAT C,620,4070000
9371,12701,16615,1539,1858,Not Provided,CAT A,1020,8891000
14306,12591,18029,1441,1723,Open,CAT B,330,5786000
6591,14567,13985,1572,1884,No Parking,CAT C,1410,4267000
7566,9599,16454,1287,1525,Not Provided,CAT A,1200,9018000
8463,8825,7307,1468,1760,Not Provided,CAT C,280,5128000
1200,7579,7376,1931,2342,Covered,CAT A,940,9726000
6871,10557,12097,1252,1506,Open,CAT B,850,3965000
6956,9048,11991,1238,1468,Open,CAT C,960,4572000
6541,7537,11474,1694,,Covered,CAT B,560,4830000
2222,10106,8858,1479,1758,Covered,CAT C,420,4206000
6194,8473,11978,1590,1912,Open,CAT B,830,6535000
7025,10344,11682,2169,2617,Open,CAT B,600,6708000
9233,12290,14032,1838,2205,Covered,CAT B,400,5403000
7185,13170,13904,1385,1655,Open,CAT A,760,5636000
7021,12206,14664,1921,2305,Covered,CAT A,1470,7712000
7970,9719,9695,1975,2385,Not Provided,CAT B,500,5081000
10381,15076,16590,1853,2235,Not Provided,CAT B,1120,6096000
5725,16967,11221,1816,2171,Open,CAT A,1160,6118000
13866,13472,15427,1785,2147,Open,CAT C,820,6366000
6353,15169,13058,1579,1899,No Parking,CAT B,1140,4119000
7944,7275,10843,1096,1321,Open,CAT A,900,7842000
6445,9455,10950,1919,2294,Not Provided,CAT A,760,6558000
4446,9575,9133,1262,1500,Not Provided,CAT A,1170,8908000
5320,9845,9590,1374,1655,Covered,CAT A,1080,9417000
10103,11932,16948,1309,1587,Not Provided,CAT B,1000,5095000
11517,11278,14656,1207,1434,Not Provided,CAT A,690,6518000
7388,15701,14982,1692,2031,Open,CAT A,810,6931000
11475,14768,15998,1929,2311,Open,CAT B,630,7921000
10148,10679,11618,1573,1878,Not Provided,CAT C,650,2374000
6255,11047,10332,1415,1700,Covered,CAT B,920,3633000
7018,7981,13748,1162,1382,Open,CAT C,1260,5170000
9588,10711,13963,1485,1787,Open,CAT B,800,6295000
8276,11728,11932,1897,2248,Not Provided,CAT A,1330,5601000
7739,12930,12703,1607,1927,No Parking,CAT B,940,4508000
10106,13805,16769,1909,2287,Not Provided,CAT B,1210,4683000
8510,10891,13380,1274,1503,Open,CAT A,660,6475000
5553,13174,11586,1157,1379,Not Provided,CAT A,770,8078000
7522,11974,11433,1712,2046,Not Provided,CAT C,460,3118000
8702,13088,14238,1500,1798,No Parking,CAT C,860,5671000
6777,9885,11064,1682,2017,Open,CAT B,780,4939000
7944,14333,12801,1441,1727,Not Provided,CAT A,890,6600000
1637,7315,7685,1525,1835,Covered,CAT C,900,3277000
5237,9949,9116,1408,1669,Not Provided,CAT B,530,4658000
6567,14955,13427,1947,2333,Open,CAT A,790,7978000
7293,6919,11618,1164,1390,Not Provided,CAT C,370,3551000
4415,9440,10672,1787,2137,Covered,CAT A,610,8097000
6873,7786,9520,1871,2241,Open,CAT B,500,6115000
6139,9882,10482,1718,2051,Open,CAT B,750,4921000
10772,9004,13291,1365,1636,Not Provided,CAT A,980,7995000
4233,10090,11422,1368,1654,No Parking,CAT A,530,6874000
7238,13882,13825,1342,1595,Open,CAT B,910,5748000
7066,15366,15721,1076,1270,Open,CAT A,620,7263000
8353,12447,12931,1396,1672,No Parking,CAT B,1170,5007000
11621,14446,14609,1713,2071,Open,CAT B,900,4049000
10831,15438,16525,1370,1638,Open,CAT B,980,5185000
7650,5591,10198,1667,1993,No Parking,CAT C,740,4284000
8464,14185,15235,1638,1972,Not Provided,CAT B,810,6094000
6502,9917,10173,1581,1905,Open,CAT B,810,6228000
4945,10098,9241,1795,2187,Open,CAT A,300,7653000
5123,8950,8719,1179,1412,Covered,CAT A,790,8513000
7540,7861,10544,1978,2374,Open,CAT B,800,4859000
3529,13267,9687,1688,2042,No Parking,CAT A,760,7308000
7597,10595,9399,1214,1456,Not Provided,CAT B,530,4895000
4198,8105,7609,1504,1805,Open,CAT C,540,4856000
9257,12705,15491,1498,1770,Not Provided,CAT B,620,5938000
7611,8008,11018,1462,1762,Open,CAT C,1010,5119000
9334,12267,14658,1442,1750,Not Provided,CAT B,130,5892000
3761,8492,8590,1250,1486,Open,CAT B,730,5036000
7738,9475,14329,1229,1480,Open,CAT C,830,3807000
5964,10763,12082,1936,2300,Covered,CAT C,1060,4917000
7032,11598,12267,1369,1629,Open,CAT C,770,3974000
3761,7646,7251,1514,,No Parking,CAT C,440,5485000
10868,12273,14157,1662,1986,Open,CAT B,70,6373000
,,13083,1544,1847,Open,CAT B,750,6479000
10100,11816,14994,1548,1855,Open,CAT A,670,8533000
10967,12140,14999,1649,1963,Not Provided,CAT C,490,2741000
11678,14658,14417,1393,1663,Open,CAT C,670,3732000
3644,10324,10264,1450,1734,Not Provided,CAT A,380,7112000
5595,13050,12267,1613,1921,Covered,CAT A,1200,7280000
10043,12339,14476,1408,1696,No Parking,CAT C,350,3441000
3050,11554,8995,775,932,Open,CAT C,1090,4253000
9487,10781,15148,1275,1534,Covered,CAT A,1230,5430000
9674,12730,15159,1740,2078,Open,CAT B,680,5078000
6373,8175,9701,1372,1657,Open,CAT B,580,4502000
6326,11417,9620,1414,1723,Covered,CAT A,680,6960000
3328,6678,9320,2044,2474,Open,CAT B,340,8034000
8509,10793,11170,1823,2176,Not Provided,CAT B,700,3781000
9963,10658,14014,955,1133,Not Provided,CAT C,580,4614000
5754,6031,9745,1465,1763,Not Provided,CAT A,680,9957000
10039,8836,15253,1331,1606,Open,CAT C,630,3865000
8738,12259,15087,1232,1487,Not Provided,CAT C,860,4980000
5736,11309,14316,1481,1765,No Parking,CAT A,490,6991000
4692,5460,7531,1343,1599,Open,CAT B,870,4491000
8391,12763,15332,1539,1837,Covered,CAT A,990,7847000
9770,11006,16758,1007,1207,No Parking,CAT B,670,4746000
7371,9749,13443,1762,2145,Open,CAT C,490,3346000
10662,10945,13294,1527,1832,Not Provided,CAT C,580,4409000
5654,10609,9842,1356,1619,Covered,CAT C,700,4262000
13166,11814,18307,1536,1848,No Parking,CAT B,670,6945000
9255,11812,14629,1605,1902,Not Provided,CAT B,390,7312000
4917,7195,9468,1704,2032,Covered,CAT C,590,4830000
7557,9831,13403,1626,1941,Not Provided,CAT A,1350,5809000
6424,13011,11082,1612,1939,Not Provided,CAT A,840,7425000
4933,12836,12107,1174,1396,Covered,CAT B,1100,4093000
7713,12150,13475,1923,2339,Open,CAT A,950,7093000
9247,8857,14642,1702,2053,Open,CAT A,950,6467000
15522,13528,20076,1398,1692,No Parking,CAT A,650,7742000
8691,10901,12693,1437,1717,Open,CAT B,230,3233000
10813,12852,16833,1524,1796,Open,CAT C,1060,4108000
8509,12981,13230,1902,,Open,CAT A,590,10112000
10296,11300,10885,1660,1985,Covered,CAT C,1180,4286000
9834,14431,16375,1302,1569,Open,CAT C,710,6845000
8704,13572,12349,1666,2000,Open,CAT C,480,3973000
7863,11266,12375,1391,1649,Open,CAT A,810,8375000
10083,13322,15167,1778,2148,Open,CAT A,1140,6994000
11203,12227,16293,1462,1770,Open,CAT A,1070,6771000
12499,11966,17546,1751,2115,No Parking,CAT B,790,6736000
10890,13235,13935,1652,1982,Covered,CAT C,690,5246000
10502,12011,16938,1841,2215,Covered,CAT A,610,8876000
,,8735,1841,2230,No Parking,CAT A,920,7688000
13120,15147,20263,1496,1791,Not Provided,CAT A,1240,6703000
1868,9951,9760,1504,1827,Open,CAT A,840,7823000
8643,12365,13695,1524,1808,Not Provided,CAT B,460,6227000
8121,9372,10995,1148,1371,Open,CAT A,940,4976000
11100,10338,14201,1468,1744,No Parking,CAT A,590,7366000
6126,8116,14091,1310,1558,Not Provided,CAT A,890,7232000
10187,12921,13539,1321,1579,Covered,CAT B,770,6889000
4053,7724,8975,992,1192,Not Provided,CAT C,900,3418000
9932,8958,14087,1540,1857,Open,CAT C,1020,5826000
8385,12977,14868,1807,2149,Not Provided,CAT B,910,3812000
9236,12932,14681,1526,1853,Open,CAT C,660,4907000
11195,16650,18762,1406,1677,Open,CAT A,480,6166000
11749,11673,16036,1703,2055,No Parking,CAT C,1080,3783000
5159,12872,9786,1575,1872,Covered,CAT C,690,5227000
11291,8711,14479,1309,1572,Open,CAT C,510,5228000
5312,12616,12095,1488,1807,Open,CAT A,1030,7081000
12001,16298,15585,1658,1988,Not Provided,CAT B,370,7153000
9024,9404,13234,1863,2245,Open,CAT A,640,7726000
6209,10808,11285,1458,1725,Not Provided,CAT A,750,7555000
5770,12932,13163,1604,1909,Open,CAT C,370,3373000
6697,8730,11209,1575,1899,Open,CAT B,840,6627000
5899,7614,9374,1525,1829,Covered,CAT A,840,5582000
9939,14835,15351,1451,1737,Open,CAT A,890,6843000
12336,14878,17719,1390,1687,Open,CAT A,620,7399000
10238,9621,12102,1442,1742,Open,CAT A,310,6280000
10664,7432,14294,1620,1922,Covered,CAT B,550,3374000
13071,15127,17387,1251,1527,Open,CAT C,380,6383000
7826,13333,11983,1318,1606,Covered,CAT C,1200,2441000
10539,14728,14223,1647,1962,No Parking,CAT A,800,7002000
11355,11024,16005,1829,2175,No Parking,CAT A,870,9224000
8387,11281,14879,1852,2227,Covered,CAT C,1220,6823000
12631,12290,14599,1699,2053,Open,CAT A,1080,8187000
5366,11566,12466,1325,1595,Open,CAT A,540,7386000
6571,10429,11465,1350,1634,Open,CAT B,880,7712000
5485,8488,12234,1347,1628,Covered,CAT A,120,7235000
5181,9038,10100,1397,1661,Open,CAT B,1410,4916000
8085,11993,13463,1245,1499,Open,CAT B,570,4565000
10612,8229,15696,1366,1649,Not Provided,CAT B,940,5278000
10625,13922,16123,1378,1658,Not Provided,CAT A,760,9096000
2999,11347,8760,1767,2110,Not Provided,CAT A,1200,6495000
10631,8780,15335,1184,1434,Not Provided,CAT C,670,4723000
8323,10395,11206,1257,1505,No Parking,CAT A,950,8325000
3696,6455,7925,,1846,Not Provided,CAT A,640,7808000
5758,10148,13301,1863,2247,Open,CAT C,480,5195000
9707,8985,13875,1881,2244,Open,CAT B,920,6603000
13392,13930,18104,1329,1609,Not Provided,CAT B,1150,6859000
4906,10462,12246,1539,1848,Open,CAT B,750,4714000
10006,10003,14751,1557,1861,No Parking,CAT A,370,6994000
6583,6438,10118,2007,2397,Open,CAT C,610,6589000
10100,11800,14304,1185,1418,Not Provided,CAT B,1150,8931000
9573,13264,16608,1657,2003,Not Provided,CAT B,1070,5854000
8231,10056,14031,1294,1539,Not Provided,CAT A,790,7813000
10213,13975,15747,1296,1559,No Parking,CAT A,1070,9230000
10437,13268,14922,1733,2097,Open,CAT B,730,5617000
6382,6892,13197,1641,1976,Open,CAT B,620,4605000
5732,12634,12938,1373,1648,Not Provided,CAT B,530,4339000
5402,6653,10474,1550,1845,Covered,CAT A,700,6175000
7911,13003,12926,1583,1907,Open,CAT C,680,2183000
8784,12817,14448,1428,1719,Not Provided,CAT C,1060,3980000
5566,9162,10429,1604,1925,Covered,CAT B,670,5437000
8228,13686,13223,1439,1735,Not Provided,CAT A,400,6247000
10414,11359,12764,1648,2003,Open,CAT A,910,8293000
12974,13529,18046,1025,1231,No Parking,CAT B,760,6372000
8712,10134,13615,2001,2394,Not Provided,CAT B,540,7918000
4616,9983,10644,1145,1370,Covered,CAT B,350,3821000
8370,13716,13115,1174,1426,Open,CAT C,980,2595000
11875,9962,14066,913,1106,Open,CAT A,860,5661000
8895,10317,12353,1199,1433,Not Provided,CAT A,1020,7371000
7653,11521,14161,1875,2254,Open,CAT A,1120,7040000
13339,15821,18449,1153,1397,No Parking,CAT C,1020,5044000
4355,6857,6316,1240,1492,Not Provided,CAT B,940,6684000
5577,8399,11778,1381,1660,Open,CAT B,970,5017000
2480,12328,8774,1328,,Open,CAT B,490,5849000
11184,12656,14583,1701,2030,Covered,CAT C,830,6014000
12728,12131,16681,1206,1456,Open,CAT C,920,3713000
6297,11128,11198,1476,1777,No Parking,CAT C,660,4289000
7531,12145,13548,1189,1439,Not Provided,CAT B,780,2622000
9061,8496,14431,1837,2220,No Parking,CAT A,340,5084000
4637,8636,11431,1319,1571,No Parking,CAT C,1190,2563000
7573,9645,14012,1617,1901,Open,CAT B,490,6077000
6923,7928,12000,1631,1967,Open,CAT B,1090,6960000
7635,10625,12975,1517,1805,Covered,CAT C,1040,4174000
8117,13349,16226,1764,2109,Not Provided,CAT C,1210,5013000
8726,12035,10170,1572,1869,Open,CAT C,1030,2175000
10437,13667,12454,1855,2197,Open,CAT B,1170,8049000
7974,13932,12772,1327,1571,Not Provided,CAT B,730,3402000
8705,12027,14258,1270,1515,Open,CAT B,720,6024000
6573,11137,9470,1734,2073,Open,CAT B,500,3946000
11017,8028,14703,1533,1848,Covered,CAT B,1070,5644000
10517,9839,13059,1390,1646,Open,CAT B,800,4684000
5896,14047,13272,1856,2216,Open,CAT B,1020,6482000
8051,10492,11114,1000,1215,Open,CAT A,1070,5252000
7097,13252,13997,1313,1586,Covered,CAT C,420,4594000
4219,5927,7860,1494,1799,Open,CAT C,510,3897000
9908,12872,13554,1386,1674,No Parking,CAT B,1210,5861000
8913,7116,12276,1979,2364,Not Provided,CAT C,660,3081000
7964,17040,14582,1057,1264,Open,CAT B,360,4773000
4019,7091,8720,902,1093,Covered,CAT A,1210,6464000
9242,13331,13748,1644,2003,No Parking,CAT C,-110,3275000
8801,11775,12950,1347,1622,Open,CAT B,560,4486000
10720,13072,14860,1314,1576,Covered,CAT B,360,5566000
